archive_id,member_id,member_size,member_sha256,is_enigma_binary,saving_product,member_name_has_extension,body_prefix,body_entropy,wrapper_endian,zlib_members,framed_records
arc-4f7361d1b8865adc,mus-3be88c160310fe73,479918,3be88c160310fe7332007df527f795d816945cd8a35655ff08fa121ff6e015db,True,2000,True,00010003e3d600312661000100000000,3.8707,none,0,0
arc-4f7361d1b8865adc,mus-374b7d3817be0316,464544,374b7d3817be031646e4a2b4533a15974d198a1e8642bf078916301225ff3944,True,2000,True,00010003cea600312661000100000000,3.8183,none,0,0
arc-4f7361d1b8865adc,mus-8a69c4c142ed0933,460994,8a69c4c142ed0933c3e0bb3667426d84995718526cb00b6557fe30894a380283,True,2000,True,00010003c63600312661000100000000,3.7906,none,0,0
arc-4f7361d1b8865adc,mus-1a289372eac336a2,452286,1a289372eac336a25430c2ff3b4a05f45eef028dfff4582cf05a7a2760e16520,True,2000,True,00010003aa6600312661000100000000,3.7742,none,0,0
arc-4f7361d1b8865adc,mus-49e064320623303a,496020,49e064320623303ad9033959ff05cea181afbd999b98f2ebf341c08d71377cef,True,2000,True,00010003e15600312661000100000000,3.8133,none,0,0
arc-4f7361d1b8865adc,mus-9640a259085d42d9,455496,9640a259085d42d9445411e8a6311fd35d04dd3498b64e6fce37e06bcc4933e6,True,2000,True,00010003adf600312661000100000000,3.7989,none,0,0
arc-4f7361d1b8865adc,mus-04d8f05b03c320b5,458564,04d8f05b03c320b5e52b8fa1176c7791de379828797ae131f948b615181d7c03,True,2000,True,00010003b06600312661000100000000,3.7910,none,0,0
arc-4f7361d1b8865adc,mus-4dc5ed2eaf023304,806149,4dc5ed2eaf023304e46c190e8af286757134223b7a20ba853c18a8690a590c29,True,2000,True,00010003c57600312661000100000000,3.8314,none,0,0
arc-4f7361d1b8865adc,mus-5796ddae8ebbcbb5,498984,5796ddae8ebbcbb5bef0801caa064e7ac3f933d988dff1522636dd2f7fc42318,True,2000,True,00010003d44600312661000100000000,3.7889,none,0,0
arc-4f7361d1b8865adc,mus-1af987bc75e5a373,494140,1af987bc75e5a37354155d81fb7463b33d1420cf1b6cd3c1b9f60c18985be45f,True,2000,True,00010003d7d600312661000100000000,3.7933,none,0,0
arc-4f7361d1b8865adc,mus-4dd0a63809c7c184,470629,4dd0a63809c7c1840ea2b3366050154ff7dba7a82ce4c57f086bbb263909253e,True,2000,True,00010003ded600312661000100000000,3.8549,none,0,0
arc-4f7361d1b8865adc,mus-64d1fc2fda604cc7,457647,64d1fc2fda604cc7f71df7aed3bb0dabf7abeab8c963a70914f842ff88818f16,True,2000,True,00010003c3a600312661000100000000,3.7998,none,0,0
arc-4f7361d1b8865adc,mus-783949b41f54598f,470267,783949b41f54598f310fa565cf730bd917567578d291e23e6604fdc607b43dbd,True,2000,True,00010003b8f600312661000100000000,3.7915,none,0,0
arc-4f7361d1b8865adc,mus-5d3ea0f918bdf9ee,442063,5d3ea0f918bdf9ee68989365aeed1bbfb4e81cb672919b44fc49f11eaab12240,True,2000,True,00010003ac4600312661000100000000,3.8103,none,0,0
arc-4f7361d1b8865adc,mus-792934c09805b77b,426371,792934c09805b77b8e9995c6d4fee7b9fc342da0a7483e79fc6c4c85c066ad2d,True,2000,True,0001000394a600312661000100000000,3.7543,none,0,0
